og_representation,doc_name_eng,mapping
8-करारनामा,8-Agreement,Others
हडपतारण,abduction,Others
इसार पावती,acknowledgement,Others
ताबेपावती,acknowledgement letter,Others
अभिस्वीकृती/भरणा पावती,Acknowledgement/Payment Receipt,Others
1-अभिस्वीकृती/भरणा पावती,Acknowledgement/Payment Receipt,Others
प्रशासन बंधपत्र,Administration bond,Others
2-प्रशासन बंधपत्र,Administration bond,Others
ऍडमिशन डीड,admission deed,Others
दत्तकपत्र,Adoption Deed,Others
अँडॉप्शन डीड,adoption deed,Others
3-दत्तकपत्र,adoption deed,Others
दत्तकाचे प्रधिकारपत्र,adoption letter,Others
बेदावापत्र,affidavit,Others
अँफिडेव्हीट,affidavit,Others
प्रतिज्ञापत्र,affidavit,Others
शपथलेख,Affidavit,Others
प्रतिज्ञापत्र/ हमीपत्र,Affidavit,Others
-करारनामा किंवा त्याचे अभिलेख किंवा करार संक्षेपलेख,agreement abbreviations,Others
सुखधिकाराचा इजमेंट करार,Agreement of Easement,Others
सुखाधिकाराचा (इजमेंट) करार,Agreement of Easement,Others
वाटणीपत्र,allotment,Others
ऍलोटमेंट डीड,allotment deed,Others
वाटप पत्र,Allotment Letter,Others
वाटणी पत्र,Allotment letter,Others
वाटपपत्र,Allotment letter,Others
कॉपी,copy,Others
प्रत,copy,Others
प्रत किंवा उतारा,copy,Others
चुक दुरूस्तीपत्र,Correction Deed,Others
65-चुक दुरुस्ती पत्र,Correction Deed,Others
65-Correction Deed,Correction deed,Others
चुक दुरुस्ती पत्र,Correction deed,Others
65.चुक दुरुस्ती पत्र,Correction deed,Others
-चुक दुरुस्ती पत्र,Correction deed,Others
चुक दुरूस्ती पत्र,Correction deed,Others
चुकदुरुस्ती,Correction deed,Others
सीमाशुल्क बंधपत्र किंवा उतपादन शुल्क बंधपत्र,Customs Bonds or Excise Bonds,Others
डिबेंचर ट्रस्ट डिड व गहाणखत व पर्सनल गॅरंटी,debenture trust deed,Others
डिबेन्चर ट्रस्ट डीड-गहाणखत,debenture trust deed,Others
डिक्लरेशन,Declaration Deed,Others
डिड ऑफ डिक्लरेशन,Declaration Deed,Others
डीड ऑफ डिक्लरेशन,Declaration Deed,Others
घोषणा पत्र,Declaration Letter,Others
घोषणापत्र,Declaration Letter,Others
64-घोषणा पत्र,Declaration letter,Others
-घोषणा पत्र,Declaration letter,Others
हिबानामा,deed,Others
बयनामा,deed,Others
दतकपत्र,deed,Others
-दत्तकपत्र,deed,Others
दत्तकपत्र InputProformaClassLibrary --------------------------- सादरकर्त्याचा प्रकार निवडा सादरकर्त्याचे नांव प्रकारातील कुठलीही जागा रिकामी नको मुद्रांक शुल्काची जागा रिकामी नको मुल्यांकन करा --------------------------- OK --------------------------- --------------------------- InputProformaClassLibrary --------------------------- सादरकर्त्याचा प्रकार निवडा सादरकर्त्याचे नांव प्रकारातील कुठलीही जागा रिकामी नको मुद्रांक शुल्काची जागा रिकामी नको मुल्यांकन करा --------------------------- OK --------------------------- --------------------------- InputProformaClassLibrary --------------------------- सादरकर्त्याचा प्रकार निवडा सादरकर्त्याचे नांव प्रकारातील कुठलीही जागा रिकामी नको मुद्रांक शुल्काची जागा रिकामी नको मुल्यांकन करा --------------------------- OK --------------------------- 3-दत्तकपत्र,deed,Others
पट्टा,deed,Others
भिहस्तातंरणपत्र/ डीड ऑफ अपार्टमेंट,Deed of apartment,Others
डीड ऑफ अपार्टमेंट/ असायनमेंट,Deed of apartment/assignment,Others
असाईनमेंट डीड,Deed of Assignment,Others
असाईनमेंट+B45 डीड,Deed of Assignment,Others
डिड ऑफ असाईनमेंट,Deed of Assignment,Others
डीड ऑफ असाईनमेंट,Deed of Assignment,Others
असाईनमेंट डिड,Deed of Assignment,Others
असाईनमेंटडीड,Deed of Assignment,Others
डिड ऑफ असाईमेंट,Deed of Assignment,Others
डीड ऑफ असाईमेंट,Deed of Assignment,Others
डीड ऑफ असाइनमेंट,Deed of Assignment,Others
डीड ऑफ असाईनमेंट/ खरेदीखत,Deed of Assignment,Others
डीड ऑफ असाईनमेट,Deed of Assignment,Others
डीड ऑफ असाइमेंट,Deed of Assignment,Others
खरेदीखत/डिड ऑफ असाईनमेंट,Deed of Assignment,Others
असानमेंट डीड,Deed of Assignment,Others
असाईमेंट डीड /खरेदीखत,Deed of Assignment,Others
असाईन्मेंट डिड,Deed of Assignment,Others
असाईन्मेंट,Deed of Assignment,Others
असाईनमेंड डीड,Deed of Assignment,Others
असाईनमेंड,Deed of Assignment,Others
असाईनमेंट डीड/ खरेदीखत,Deed of Assignment,Others
असाईनमेंट+डीड,Deed of Assignment,Others
असाईनमेंट+ डीड,Deed of Assignment,Others
असाईनमेंट- डीड,Deed of Assignment,Others
अभिहस्तातंरणपत्र (डीड ऑफ असाईनमेंट),Deed of Assignment,Others
अभिहस्तातंरणपत्र (डिड ऑफ असाईनमेंट ),Deed of Assignment,Others
डीड ऑफ असानमेंट,Deed of Assignment,Others
डीड ऑफ असानईमेंट,Deed of Assignment,Others
डीडी ऑफ असाईनमेंट,Deed of Assignment,Others
डीड ऑफ असाईमनमेंट,Deed of Assignment,Others
असाईनमेंट डीड अन्ड ट्रान्सफर,Deed of Assignment and Transfer,Others
डीड ऑफ ट्रान्सफर ऍन्ड असाईनमेंट,Deed of Assignment and Transfer,Others
डीड ऑफ असाईनमेंट व ट्रान्सफर,Deed of Assignment and Transfer,Others
डिड ऑफ असाईनमेंट कम पझेशन रिसीट,Deed of Assignment cum possession receipt,Others
डीड ऑफ असाईनमेंट कम ट्रान्सफर,deed of assignment cum transfer,Others
डीड ऑफ असाइनमेंट ऑफ अपार्टमेंट,Deed of Assignment of apartment,Others
डिड ऑफ असाईनमेंट (लिज होल्ट राईटस ),Deed of Assignment(Lease hold rights),Others
डीड ऑफ असाईमेंट/पजेशन/पेमेंट,Deed of Assignment/Possession payment,Others
डिड ऑफ असाईनमेंट/सेल डीड,Deed of Assignment/sale deed,Others
डीड ऑफ ट्रान्सफर/असाईनमेंट,Deed of Assignment/Transfer,Others
डिड ऑफ ट्रान्सफर/ असाईनमेंट,Deed of Assignment/Transfer,Others
डिड ऑफ ट्रान्सफर/ असाइनमेंट,Deed of Assignment/Transfer,Others
डिड ऑफ ट्रान्सफर /असाईनमेंट,Deed of Assignment/Transfer,Others
डिड ऑफ ट्रान्सफर/ डिड ऑफ असाईनमेंट,Deed of Assignment/Transfer,Others
डिड ऑफ ट्रान्सफर /असाईमेंट,Deed of Assignment/Transfer,Others
डिड ऑफ ट्रान्सफर/असाईनमेंट,Deed of Assignment/Transfer,Others
डिड ऑफ ट्रान्सफर / अभिहस्तांरणपत्र,Deed of Assignment/Transfer,Others
डिड ऑफ ट्रान्सफर (अभिहस्तातंरणपत्र),Deed of Assignment/Transfer,Others
डिड ऑफ असाईनमेंट /ट्रान्सफर,Deed of Assignment/Transfer,Others
डिड ऑफ असाईनमेंट/ अभिहस्तांतरणपत्र,Deed of Assignment/Transfer,Others
ट्रान्सफर डीड/ असाइनमेंट डीड,Deed of Assignment/Transfer,Others
असाईनमेंट/ ट्रान्सफर डीड,Deed of Assignment/Transfer,Others
असाईनमेंट/ ट्रान्सफर डिड,Deed of Assignment/Transfer,Others
डीड ऑफ ट्रान्सफर/ असाइनमेंट,Deed of Assignment/Transfer,Others
डीड ऑफ ट्रान्सफर /असाईनमेंट,Deed of Assignment/Transfer,Others
डीड ऑफ ट्रान्सफर/ असाईनमेंट,Deed of Assignment/Transfer,Others
डीड ऑफ ट्रान्सफर/ असाईमेंट,Deed of Assignment/Transfer,Others
डीड ऑफ ट्रासफर/ असाईनमेंट,Deed of Assignment/Transfer,Others
डीड ऑफ डिक्लरेशन कम करेक्शन डीड,Deed of Declaration cum Correction,Others
डीड ऑफ एक्सेंज,deed of exchange,Others
डिड ऑफ रेक्टीफिकेशन ऍन्ड सप्लीमेंटरी डिड ऑफ डिक्लरेशन,deed of rectification and supplementary deed of declaration,Others
डिड ऑफ सेटलमेंट,deed of settlement,Others
हक्कसोडपत्र,Disclaimer,Others
डिझोल्युशन ऑफ पार्टनरशिप,dissolution of partnership,Others
भागीदारापत्राचे विघटन,Dissolution of partnership letter,Others
घटस्फोट,Divorce,Others
दान,Donation,Others
34-दान,donation,Others
-दान,donation,Others
दानपत्र,donation letter,Others
दान पत्र,donation letter,Others
डुप्लीकेट,Duplicate,Others
दुबार प्रत,duplicate,Others
कंपनीचा संस्थापन समयलेख,Establishment schedule of the company,Others
अधिक प्रभार,Excess Charge,Others
33-अधिक प्रभार,Excess charge,Others
-अधिक प्रभार,Excess charge,Others
अदलाबदल पत्र,Exchange Letter,Others
अदला बदल पत्र,exchange letter,Others
फॅमिली अँरेजमेंट,family arrangement,Others
फर्दर चार्ज,Further Charge,Others
गिफ्ट,Gift,Others
बक्षिसपत्र,gift,Others
बक्षीसपत्र,Gift Deed,Others
अविभाज्य हिश्याचे पूर्ण बक्षिसपत्र,gift deed,Others
अविभाज्य हिश्याचे अंशतः बक्षिसपत्र,gift deed,Others
ब॑क्षीसपत्र,Gift Deed,Others
बक्षीस पत्र / दान पत्र,Gift Deed/ adoption letter,Others
हायपोथिकेशन,Hypothication,Others
35-क्षतिपूर्ती बंधपत्र,indemnity bond,Others
जॉईट व्हेंचर,joint venture,Others
जॉईट व्हेंचर करारनामा,joint venture agreement,Others
हक्कसोड,Leave the claim,Others
व्यवस्थापत्र,Letter of arrangemen,Others
अभिहस्तातंरणपत्र,Letter of Assignment,Others
25-अभिहस्तातंरणपत्र,Letter of Assignment,Others
-अभिहस्तातंरणपत्र,Letter of assignment,Others
अभिहस्तातंरणपत्र-,Letter of Assignment,Others
अभिहस्तांरणपत्र,Letter of assignment,Others
"अभिहस्तांतरणपत्र""",Letter of assignment,Others
अभिहस्तांतण,Letter of assignment,Others
विनिमयपत्र किंवा वचनचिठ्ठी,Letter of exchange,Others
मान्यता पत्र,Letter of Recognition,Others
मान्य़तापत्र,Letter of Recognition,Others
70-मान्यता पत्र,Letter of recognition,Others
-मान्यता पत्र,Letter of recognition,Others
मान्यता पत्र/ कबुली दस्त,letter of recognition,Others
मान्यता पत्र / घोषणापत्र,letter of recognition,Others
43-टिप्पणी किंवा ज्ञापन,memorandum,Others
टिप्पणी किंवा ज्ञापन,memorandum,Others
मेमोरंडम ऑफ डिपॉजित,memorandum of deposit,Others
मेमोरेन्डम ऑफ टायटल डिड,memorandum of title deed,Others
विलीनिकरण,Merger,Others
चुक दुरूस्ती पत्र्,Mistake correction letter,Others
चुक दुरुस्ती पत्र 65-चुक दुरुस्ती पत्र,Mistake correction letter,Others
चुक दुरुस्ती पत्र-,Mistake correction letter,Others
चुक दुरुस्ती,Mistake correction letter,Others
निवाडा,nivada,Others
द्स्तप्रकारनुसार आवश्यक नाही,Not required by type,Others
मालाच्या बाबतीत सुपूर्दगी आदेश,order,Others
पार्टीशन,partition,Others
भागीदारी,Partnership,Others
47-भागीदारी,partnership,Others
पार्टनरशिप डीड,partnership deed,Others
भागीदारीपत्र,partnership letter,Others
भागीदारी पत्र,partnership letter,Others
45-पैसे देण्याचा आदेश,Payment Order,Others
ताबा साठेखत,Possession,Others
पुरवनी करारनामा,pre-agreement,Others
प्रतिज्ञालेख,Promissory note,Others
मालमत्ता विनिमय,Property Exchange,Others
32-मालमत्ता विनिमय,property exchange,Others
ताबापावती,Receipt,Others
भरणा पावती,Receipt of payment,Others
ताबा पावती,Receipt of possession,Others
ताबा तावती,Receipt of possession,Others
मान्यता,Recognition,Others
रिकन्व्हेन्स,Reconveyance,Others
गहाण मालमत्तेचे प्रत्यंतरणपत्र (रिकन्व्हेयन्स ऑफ़ मॉरगेज),Reconveyance of mortgage,Others
51-गहाण मालमत्तेचे प्रत्यंतरणपत्र (रिकन्व्हेयन्स ऑफ़ मॉरगेज),Reconveyance of mortgage,Others
-गहाण मालमत्तेचे प्रत्यंतरणपत्र (रिकन्व्हेयन्स ऑफ़ मॉरगेज),Reconveyance of mortgage,Others
(रिकन्व्हेयन्स ऑफ़ मॉरगेज),Reconveyance of mortgage,Others
गहाण मालमत्तेचे प्रत्यंतरणपत्र (रिकन्व्हेयन्स ऑफ़ मॉरगेज,Reconveyance of mortgage,Others
51-गहाण मालमत्तेचे प्रत्यंतरणपत्र (रिकन्व्हेयन्स ऑिमॉरगेज),Reconveyance of mortgage,Others
51-गहाण मालमत्तेचे प्रत्यंतरणपत्र (रिकन्व्हेयन्स ऑफ़ मॉरगेज)-,Reconveyance of mortgage,Others
मालमत्तेचे प्रत्यंतरणपत्र (रिकन्व्हेयन्स ऑफ़ मॉरगेज),Reconveyance of mortgage,Others
रिकन्व्हेयन्स ऑफ़ मॉरगेज,Reconveyance of mortgage,Others
हाण मालमत्तेचे प्रत्यंतरणपत्र (रिकन्व्हेयन्स ऑफ़ मॉरगेज),Reconveyance of mortgage,Others
परिमोचनपत्र (रिलीज),Release Deed,Others
रिलीज डीड,Release Deed,Others
52-परिमोचनपत्र (रिलीज),release deed,Others
-परिमोचनपत्र (रिलीज),release deed,Others
रिमोचनपत्र (रिलीज),release deed,Others
रिलिज डीड,release deed,Others
परिमोचनपत्र,Release letter,Others
-भाडेपट्ट्याचा प्रत्यर्पण लेख,Retal lease extradition article,Others
गहाण मालमत्तेचे प्रत्यंतरणपत्र,Return of mortgage property,Others
51-गहाण मालमत्तेचे प्रत्यंतरणपत्र,Return of Mortgage Property,Others
कुलमुखत्यारपत्र रद्दलेख,revocation of power of attorney,Others
रस्ता वापरण्याचा करारनामा,Road use agreement,Others
रस्ता वापरासाठीचा दस्त,Road use agreement,Others
प्रतिभूती बंधपत्र,Securities bond,Others
सेटलमेंट,settlement,Others
शेअर अधिपत्रे,share licenses,Others
वाटणी- त्यासंबंधी संलेख,Sharing Document,Others
46-वाटणी- त्यासंबंधी संलेख,sharing document,Others
-वाटणी- त्यासंबंधी संलेख,sharing document,Others
खरेदीखतास पुरक दस्त,Supplementary document,Others
पुरवणी गहाणखत,Supplementary mortgage,Others
पुरवणी खरेदीखत,Supplementary Purchase,Others
सरेंडर डीड,surrender deed,Others
सरंडर ऑफ लीज,Surrender of Lease,Others
टीडीआर करारनामा,TDR agreement,Others
टिडीआर करारनामा,TDR agreement,Others
प्रतिलेख किंवा प्रतिलिपी,Transcript,Others
27-प्रतिलेख किंवा प्रतिलिपी,transcript,Others
विकसन हक्काचे तबदीलपत्र,Transfer of development rights,Others
भाडेकरू हक्काचे तबदीलपत्र,Transfer of tenant claim,Others
विश्वस्त व्यवस्था,trust,Others
ट्रस्ट,trust,Others
विश्र्वस्तलेख,trust,Others
ट्रस्ट डीड,trust deed,Others
बेदावा पत्र/ तबदील पत्र,Unclaimed letter,Others
विनामोबदला हक्कसोडपत्र,Unpaid claim settlement letter,Others
विना मोबदला हक्क सोडपत्र,Unpaid claim settlement letter,Others
विना मोबदला हक्कसोड पत्र,Unpaid claim settlement letter,Others
हमीपत्र,Warranty,Others
कार्यकंत्राट,work contract,Others
73-कार्यकंत्राट,work contract,Others
वर्क कॉन्ट्रॅक्ट,work contract,Others
,,Others
कोडीसील,,Others
काडीमोड,,Others
कलम प्रकारानुसार आवश्यक नाही,,Others
अँग्रीमेंट ऑफ असाईनमेंट,agreement of assignment,Others
अँग्रीमेंट ऑफ असाइनमेंट,agreement of assignment,Others
ऍग्रीमेंट ऑफ असाईनमेंट,Agreement of Assignment,Others
अँग्रीमेंट ऑफ असाईमेंट,Agreement of Assignment,Others
अँग्रीमेंट ऑफ असाईनमेंट /ट्रान्सफर,Agreement of Assignment and Transfer,Others
अँग्रीमेंट ऑफ असाइनमेंट ऍन्ड ट्रान्सफर,Agreement of Assignment and Transfer,Others
मुखत्यारीची अंमलबजावणी म्हणून नेमणूक,Appointment of Attorney as Executioner,Others
7-मुखत्यारीची अंमलबजावणी म्हणून नेमणूक,Appointment of power of attorney,Others
9-शिकाऊ उमेदवारी विलेख,Apprentice deed,Others
शिकाऊ उमेदवारी विलेख,Apprentice deed,Others
संव्यवस्था,arrangement deed,Others
अँरेजमेंट,arrangement deed,Others
असाईमेंट,assignment,Others
असाईनमेंट,assignment deed,Others
डिड ऑफ असाइनमेंट,assignment deed,Others
असाइनमेंट डिड,assignment deed,Others
असाईनमें डीड,assignment deed,Others
असाईनमेंड डिड,assignment deed,Others
असाईमेंट डीड,assignment deed,Others
डीड असाईनमेंट,assignment deed,Others
असाईनमेंट ऑफ डेव्हलपमेंट राईट्स,assignment of development rights,Others
असाईनमेंट ऑफ लीज,assignment of lease,Others
अँवॉर्ड,award,Others
जामीनपत्र,bail letter,Others
बंधपत्र,Bond,Others
बॉन्ड,bond,Others
क्षतिपूर्ती बंधपत्र,Bond of Indemnity,Others
प्रतिभूमिबंधपत्र किंवा गहाणखत,Bond or mortgage,Others
व्यवसाय उमेदवारी करार,Business candidacy agreement,Others
रद्द करणे,Cancellation Deed,Others
रद्दलेख,Cancellation Deed,Others
कॅन्सलेशन डीड,Cancellation Deed,Others
15-रद्द करणे,Cancellation Deed,Others
-रद्द करणे,Cancellation Deed,Others
रद् करणे,Cancellation Deed,Others
रद्द करणे-,Cancellation Deed,Others
रद्दपत्र,Cancellation Deed,Others
रद्दबातल दस्त,Cancellation Deed,Others
डीड ऑफ कॅन्सलेशन,Cancellation Deed,Others
इच्छापत्र रद्द,cancelled will,Others
हक्कसोड पत्र,Claim letter,Others
हक्कसोडपत्र्,Claim letter,Others
दुरस्ती पुरक दस्त,complementary document,Others
नौकाधिपतीच्या अधिकथनाविषयी अधिटिप्पणी,complementary document,Others
कॉम्पोझिशन डीड,composition deed,Others
तडजोडनामा,Compromise,Others
24-तडजोडनामा,Compromise,Others
शर्तीचे खरेदीखत,Conditional purchase deed,Others
कबुली दस्त,confessional document,Others
कन्फर्मेशन डीड,Confirmation Deed,Others
कन्सेंट डीड,consent deed,Others
संमतीपत्र,Consent Form,Others
संमती पत्र,Consent form,Others
करारनामा / संमती पत्र,consent letter,Others
खरेदीखतास संमितपत्र,Consent letter for purchase,Others
विनामोबदला संमतीपत्र,Consent without pay,Others
हायर परचेस करारनामा,higher purchase agreement,Sale
करारनामा,Agreement,Sale
करारनामा किंवा त्याचे अभिलेख किंवा करार संक्षेपलेख,Agreement,Sale
68-करारनामा,Agreement,Sale
-करारनामा,Agreement,Sale
इकरारनामा,Agreement,Sale
करानामा,Agreement,Sale
करारानामा,Agreement,Sale
करारनामा-,Agreement,Sale
68.करारनामा,Agreement,Sale
अँग्रीमेंट,Agreement,Sale
68-करारनामा-,Agreement,Sale
करारनाम,Agreement,Sale
कारनामा,Agreement,Sale
कारारनामा,agreement,Sale
करारामा,agreement,Sale
करारनामा/साठेखत,agreement,Sale
करारनामा/ साठेखत,agreement,Sale
करारनामा (साठेखत),agreement,Sale
करारनामा ताब्यासह,agreement,Sale
#ERROR!,agreement,Sale
करारना,agreement,Sale
करारनमा,agreement,Sale
समुजीचा करारनामा,agreement,Sale
अँग्रीमेंट फॉर सेल,agreement for sale,Sale
Agreement For Sale,Agreement For Sale,Sale
करारनामा ऍग्रीमेंट फॉर सेल,Agreement For Sale,Sale
अँग्रीमेंट फॉर सेल ऍन्ड ट्रान्सफर फॉर टी डी आर,agreement for sale and transfer for TDR,Sale
अँग्रीमेंट फॉर ट्रान्स्फर,agreement for transfer,Sale
अँग्रीमेंट टू असाईन,Agreement of Assign,Sale
अँग्रीमेंट ऑफ सेल,agreement of sale,Sale
ऍग्रीमेंट ऑफ ट्रान्सफर,agreement of transfer,Sale
अँग्रीमेंट ऑफ ट्रान्स्फर ऑफ टेनन्सी,agreement of transfer of tenancy,Sale
5-करारनामा किंवा त्याचे अभिलेख किंवा करार संक्षेपलेख,agreement summary,Sale
अँग्रीमेंट टू असाईनमेंट,Agreement to Assignment,Sale
ऍग्रीमेंट टु असाईनमेंट / सेल,agreement to assignment/sale,Sale
अँग्रीमेंट टू सेल,Agreement to Sale,Sale
साठेखत,Agreement to Sale,Sale
विक्री करारनामा,Agreement to Sale,Sale
अँग्रीमेंट टु सेल,agreement to sale,Sale
AGREEMENT TO SALE,AGREEMENT TO SALE,Sale
करारनामा (ऍग्रीमेंट टु सेल),agreement to sale,Sale
करारनामा /ऍग्रीमेंट टु सेल,agreement to sale,Sale
ऍग्रीमेंट टू सेल,Agreement to Sale,Sale
अग्रीमेंट टू सेल,Agreement to Sale,Sale
अँग्रीमेंट टू सेल ऑफ फ्लॅट,Agreement to Sale of Flat,Sale
अँग्रीमेंट टू सेल ऑफ ऑफिस,agreement to sale of office,Sale
अँग्रीमेंट टू सेल ऑफ शॉप,agreement to sale of shop,Sale
तबदीलीचा करारनामा,Agreement to Transfer,Sale
अँग्रीमेंट टू टान्सफर,agreement to transfer,Sale
अँग्रीमेंट टू ट्रान्सफर ऑफ फ्लॅट,agreement to transfer of flat,Sale
अपार्ट्मेंट डीड,Apartment Deed,Sale
डीड ऑफ अपार्टमेंट,Apartment Deed,Sale
अपार्टमेंट डीड,Apartment Deed,Sale
69-अपार्ट्मेंट डीड,Apartment Deed,Sale
67-अपार्ट्मेंट डीड,Apartment Deed,Sale
-अपार्ट्मेंट डीड,Apartment Deed,Sale
डिड ऑफ अपार्टमेंट,Apartment Deed,Sale
अपार्टमेंट डिड,Apartment Deed,Sale
अपार्टमेंट,Apartment Deed,Sale
डीड ऑफ अपार्ट्मेंट,Apartment Deed,Sale
अपार्टमेंड डीड,Apartment Deed,Sale
अपार्टमेंटट,Apartment Deed,Sale
#ERROR!,Apartment Deed,Sale
अपार्टमेट डीड,Apartment Deed,Sale
डिड ऑफ अपार्टमेंट/ डिड ऑफ असाईनमेंट,apartment deed / deed of assignment,Sale
कन्व्हेन्स डीड,Conveyance Deed,Sale
डीड ऑफ कन्व्हेन्स,Conveyance Deed,Sale
डिड ऑफ कन्व्हेन्स,Conveyance Deed,Sale
कन्व्हेंस डिड,Conveyance Deed,Sale
